Ticker,Description,Price,Change %,Change,Technical Rating,Volume,Volume*Price,Market Capitalization,Price to Earnings Ratio (TTM),Basic EPS (TTM),Sector,Exchange,1-Month High,1-Month Low,1-Year Beta,Aroon Down (14),Aroon Up (14),Average Volume (10 day),Average Directional Index (14),Awesome Oscillator,Bollinger Lower Band (20),Bollinger Upper Band (20),Bull Bear Power,"Change 1h, %",Average True Range (14),Change 1h,"Change 1W, %","Change 1m, %","Change 5m, %","Change 15m, %",Commodity Channel Index (20),Country,Exponential Moving Average (20),High,Hull Moving Average (9),"Ichimoku Base Line (9, 26, 52, 26)","Ichimoku Conversion Line (9, 26, 52, 26)","Ichimoku Leading Span A (9, 26, 52, 26)","Ichimoku Leading Span B (9, 26, 52, 26)","Change 1M, %","Change 4h, %",Industry,Low,"MACD Level (12, 26)","MACD Signal (12, 26)",Momentum (10),Keltner Channels Lower Band (20),Keltner Channels Upper Band (20),Moving Averages Rating,Negative Directional Indicator (14),Open,Oscillators Rating,Positive Directional Indicator (14),Relative Strength Index (14),Relative Volume,Relative Volume at Time,Simple Moving Average (5),Simple Moving Average (20),Simple Moving Average (50),Simple Moving Average (200),"Stochastic %D (14, 3, 3)","Stochastic %K (14, 3, 3)","Stochastic RSI Fast (3, 3, 14, 14)","Stochastic RSI Slow (3, 3, 14, 14)",Volatility Week,Volatility Month,Volatility,Volume Weighted Average Price,Volume Weighted Moving Average (20),Average Day Range (14)
ADAVIATION,Abu Dhabi Aviation Co.,6.8,0,0,Buy,3000,20400,2908908277,8.576113,0.7929,Transportation,ADX,7.02,6.48,1.172386,0,78.57142857,136938.5,49.79551974,0.16023529,6.50575748,6.84824252,0.13224507,1.04011887,0.01796637,0.07,3.97553517,0,0,0,113.28588375,United Arab Emirates,6.7011864,6.8,6.8207037,6.67,6.745,6.5825,6.59,3.97553517,1.04011887,Airlines,6.8,0.05832974,0.04441382,0.12,6.6657486,6.7366242,Strong Buy,10.70748559,6.8,Neutral,71.42901537,79.00784542,0.15949302,,6.79,6.677,6.6196,6.72735,100,100,100,100,3.65853659,1.03227062,3.96341463,6.71440111,6.71673528,0.01142857
ADCB,Abu Dhabi Commercial Bank,8.19,0.36764706,0.03,Strong Buy,667152,5463974.88,59330785428,9.140625,0.8971,Finance,ADX,8.23,7.95,1.2019151,35.71428571,100,3192054,37.05833084,0.00882353,8.12934148,8.17365852,0.06712423,0.49079755,0.01272958,0.04,0.9864365,0.36764706,0.36764706,0.36764706,395.12619669,United Arab Emirates,8.15387798,8.19,8.17062963,8.165,8.165,8.145,8.13,0.9864365,0.49079755,Major Banks,8.19,0.00440943,0.00122723,0.04,8.12735352,8.18040243,Strong Buy,8.05297499,8.19,Buy,34.39728414,69.14586842,17.38851212,2.21055681,8.16,8.1515,8.1478,8.1529,55.55555556,77.77777778,100,80.16898774,1.36138614,1.05281728,1.36138614,8.14077644,8.16502283,0.01
ADIB,Abu Dhabi Islamic Bank,10.44,0,0,Buy,360294,3761469.36,38644481247,10.34277789,1.0094,Finance,ADX,10.74,10,1.2691952,7.14285714,0,1588955.6,30.42156441,-0.03223529,10.38912881,10.45887119,0.02485131,0.38461538,0.02580447,0.04,-1.87969925,0,0,0,112.74509804,United Arab Emirates,10.43308132,10.44,10.43407407,10.46,10.42,10.515,10.49,-1.87969925,0.38461538,Regional Banks,10.44,-0.01182435,-0.01686214,0.04,10.38446347,10.48169917,Buy,22.88687207,10.44,Neutral,16.85059043,50.00706477,7.20478487,1.79716554,10.424,10.424,10.4692,10.5803,51.85185185,77.77777778,91.78892762,82.96856206,2.32108317,1.49482066,2.90135397,10.45786474,10.4266057,0.02
ADNH,Abu Dhabi National Hotels Co.,5.51,-0.72072072,-0.04,Neutral,2314,12750.14,6336000252,16.11582334,0.3419,Consumer Services,ADX,5.6,4.3,0.39159504,21.42857143,50,183648,40.73688069,0.13979412,5.37057809,5.65542191,-0.02922434,-0.72072072,0.02763208,-0.04,4.35606061,-0.72072072,-0.72072072,-0.72072072,1.30463144,United Arab Emirates,5.49248082,5.51,5.52807407,5.405,5.55,5.225,5.13,4.35606061,-0.72072072,Hotels/Resorts/Cruise lines,5.51,0.06508253,0.07637016,0.01,5.43923597,5.54572567,Buy,37.27793953,5.51,Sell,57.07447346,57.24609964,0.20791403,,5.542,5.513,5.3434,4.98345,59.13580247,42.22222222,2.16525394,1.81761232,5.66037736,3.07178982,6.03773585,5.48836124,5.50320679,0.00785714
ADNIC,Abu Dhabi National Insurance Company,5.77,0.34782609,0.02,Strong Buy,7000,40390,3283200130,8.37081097,0.6893,Finance,ADX,5.77,5.71,0.0314044,21.42857143,100,10040.8,22.18933447,0.01747059,5.72560392,5.76639608,0.03800073,0.34782609,0.00646933,0.02,0.17361111,0.34782609,0.34782609,0.34782609,203.38983051,United Arab Emirates,5.74699055,5.77,5.75985185,5.75,5.755,5.725,5.68,0.17361111,0.34782609,Multi-Line Insurance,5.77,0.00793333,0.00691437,0.04,5.73351986,5.76046124,Strong Buy,30.97194588,5.77,Buy,62.91696297,66.85168219,1.34573977,,5.756,5.746,5.737,5.6771,92.59259259,88.88888889,82.28608778,80.06820412,0.34782609,0.07069537,0.34782609,5.76249777,5.7440771,0.00142857
ADNOCDIST,Abu Dhabi National Oil Company For Distribution,3.89,-0.51150895,-0.02,Strong Sell,443422,1724911.58,48750001192,18.59464627,0.2092,Energy Minerals,ADX,4.2,3.89,0.9577852,85.71428571,0,7283419.1,32.60286689,-0.00958824,3.89144128,3.92555872,-0.03034412,-0.76530612,0.01311515,-0.03,-0.25641026,-0.51150895,-0.51150895,-0.51150895,-227.79519331,United Arab Emirates,3.9073297,3.89,3.89985185,3.905,3.905,3.9175,3.92,-0.25641026,-0.76530612,Oil & Gas Production,3.89,-0.00382141,-0.0023456,-0.03,3.88067797,3.93398142,Strong Sell,16.82987821,3.89,Sell,2.87623444,40.81652589,3.88683678,1.61248539,3.902,3.9085,3.9132,3.93245,31.48148148,33.33333333,25.775837,27.2110957,1.28534704,1.22343986,1.28534704,3.91533036,3.90563027,0.01142857
ADNOCDRILL,ADNOC Drilling Company PJSC,3.63,0,0,Buy,336928,1223048.64,56959999084,18.69207003,0.1942,Industrial Services,ADX,3.8,3.47,0.5898913,0,78.57142857,3491358,30.7608535,0.03202941,3.56101282,3.63898718,0.03368282,0.83333333,0.00756208,0.03,1.96629213,0,0,0,139.95485327,United Arab Emirates,3.60578254,3.63,3.63618519,3.6,3.615,3.5725,3.57,1.96629213,0.83333333,Contract Drilling,3.63,0.01315236,0.00991821,0.03,3.59073805,3.62082702,Strong Buy,24.03065534,3.63,Neutral,46.71429138,73.16133229,4.89136526,1.23845785,3.626,3.6,3.5842,3.58805,100,100,100,97.87104128,2.54237288,2.0135577,2.54237288,3.58809867,3.61313662,0.00642857
ADNOCGAS,ADNOC Gas plc,3.12,-0.63694268,-0.02,Sell,273412,853045.44,236394373519,,,Energy Minerals,ADX,3.15,3.02,0.6491904,100,0,10446801.2,60.21871428,0.00302941,3.12205448,3.14494552,-0.02817149,-0.31948882,0.01043295,-0.01,1.2987013,-0.63694268,-0.63694268,-0.63694268,-333.33333333,United Arab Emirates,3.13273862,3.12,3.13455556,3.13,3.13,3.12,3.115,1.2987013,-0.31948882,Integrated Oil,3.12,0.0029432,0.00406647,-0.01,3.11134709,3.15413015,Sell,8.21681888,3.12,Sell,10.26394924,37.14459417,1.99534974,1.65485845,3.136,3.1335,3.1254,3.10295,88.88888889,66.66666667,66.66666667,86.83846354,2.27272727,1.0061651,2.27272727,3.1235578,3.13413271,0.00928571
ADNOCLS,ADNOC Logistics & Services plc,3.03,0.33112583,0.01,Sell,296050,897031.5,28429300000,,,Transportation,ADX,3.13,2.98,0.5791956,50,0,5441789.3,73.27477498,-0.014,3.01820838,3.05279162,-0.00110317,-0.32894737,0.00887327,-0.01,-0.98039216,0,0.33112583,0.33112583,-44.02515723,United Arab Emirates,3.03380833,3.03,3.02240741,3.035,3.03,3.05,3.05,-0.98039216,-0.32894737,Marine Shipping,3.03,-0.00596707,-0.00503809,-0.01,3.01559293,3.05202373,Sell,20.75324438,3.03,Neutral,1.45647072,43.47560938,1.8035773,2.42762846,3.026,3.0355,3.0438,3.05945,16.66666667,16.66666667,67.65814623,70.07023579,1.32450331,3.72817066,1.32450331,3.0432861,3.03328245,0.00714286
ADPORTS,Abu Dhabi Ports Company PJSC,6.49,-0.15384615,-0.01,Neutral,316264,2052553.36,32728700000,25.91853035,0.2504,Transportation,ADX,6.54,6.27,0.4648671,21.42857143,0,2763275.5,20.20406132,-0.00038235,6.47585786,6.50414214,-0.00208501,0.15432099,0.01169102,0.01,0.93312597,-0.15384615,-0.15384615,-0.15384615,8.69565217,United Arab Emirates,6.49010128,6.49,6.49385185,6.495,6.49,6.4775,6.445,0.93312597,0.15432099,Other Transportation,6.49,0.00242117,0.00277387,0.01,6.46628146,6.5139211,Neutral,18.29987798,6.49,Neutral,23.89161146,50.98360181,5.35989804,,6.492,6.49,6.4856,6.40445,61.11111111,66.66666667,60.99577171,56.72280461,1.08695652,1.21502137,1.24223602,6.48752205,6.4892293,0.01
